
Score	GPU	Base/Boost	Memory	Power	Buy
Nvidia GeForce RTX 3090  			100.0%	GA102	1400/1695 MHz	24GB GDDR6X		350W	Nvidia GeForce RTX 3090
Nvidia GeForce RTX 3080 Ti  		97.9%	GA102	1370/1665 MHz	12GB GDDR6X		350W	Nvidia GeForce RTX 3080 Ti
AMD Radeon RX 6900 XT				97.0%	Navi 21	1825/2250 MHz	16GB GDDR6		300W	AMD Radeon RX 6900 XT
AMD Radeon RX 6800 XT				93.5%	Navi 21	1825/2250 MHz	16GB GDDR6		300W	AMD Radeon RX 6800 XT
Nvidia GeForce RTX 3080		 		93.2%	GA102	1440/1710 MHz	10GB GDDR6X		320W	Nvidia GeForce RTX 3080
AMD Radeon RX 6800					85.7%	Navi 21	1700/2105 MHz	16GB GDDR6		250W	AMD Radeon RX 6800
Nvidia GeForce RTX 3070 Ti			81.5%	GA104	1575/1770 MHz	8GB GDDR6X		290W	Nvidia GeForce RTX 3070 Ti
Nvidia Titan RTX					79.5%	TU102	1350/1770 MHz	24GB GDDR6		280W	Nvidia Titan RTX
Nvidia GeForce RTX 2080 Ti			77.4%	TU102	1350/1635 MHz	11GB GDDR6		260W	Nvidia GeForce RTX 2080 Ti
Nvidia GeForce RTX 3070				76.3%	GA104	1500/1730 MHz	8GB GDDR6		220W	Nvidia GeForce RTX 3070
AMD Radeon RX 6700 XT				73.3	Navi 22	2321/2424 MHz	12GB GDDR6		230W	AMD Radeon RX 6700 XT
Nvidia GeForce RTX 3060 Ti			69.6%	GA104	1410/1665 MHz	8GB GDDR6		200W	Nvidia GeForce RTX 3060 Ti
Nvidia Titan V						68.7%	GV100	1200/1455 MHz	12GB HBM2		250W	Nvidia Titan V
Nvidia GeForce RTX 2080 Super		66.8%	TU104	1650/1815 MHz	8GB GDDR6		250W	GeForce RTX 2080 Super
Nvidia GeForce RTX 2080				62.5%	TU104	1515/1800 MHz	8GB GDDR6		225W	GeForce RTX 2080
Nvidia Titan Xp						61.1%	GP102	1405/1480 MHz	12GB GDDR5X		250W	GeForce GTX Titan X
Nvidia GeForce RTX 2070 Super		59.6%	TU104	1605/1770 MHz	8GB GDDR6		215W	GeForce RTX 2070 Super
AMD Radeon VII						58.9%	Vega 20	1400/1750 MHz	16GB HBM2		300W	Radeon VII
Nvidia GeForce GTX 1080 Ti			57.8%	GP102	1480/1582 MHz	11GB GDDR5X		250W	Nvidia GeForce GTX 1080 Ti
AMD Radeon RX 5700 XT				57.0%	Navi 10	1605/1905 MHz	8GB GDDR6		225W	AMD Radeon RX 5700 XT
Nvidia GeForce RTX 3060 12GB		54.7	GA106	1320/1777 MHz	12GB GDDR6		170W	Nvidia GeForce RTX 3060 12GB
Nvidia GeForce RTX 2070				53.1%	TU106	1410/1710 MHz	8GB GDDR6		185W	RTX 2070
AMD Radeon RX 5700					51.4%	Navi 10	1465/1725 MHz	8GB GDDR6		185W	AMD Radeon RX 5700
Nvidia GeForce RTX 2060 Super		50.6%	TU106	1470/1650 MHz	8GB GDDR6		175W	GeForce RTX 2060 Super
AMD Radeon RX Vega 64				48.4%	Vega 10	1274/1546 MHz	8GB HBM2		295W	Gigabyte Radeon RX Vega 64
AMD Radeon RX 5600 XT				46.6%	Navi 10	?/1615 MHz		6GB GDDR6		150W	Radeon RX 5600 XT
Nvidia GeForce GTX 1080				45.2%	GP104	1607/1733 MHz	8GB GDDR5X		180W	Nvidia GeForce GTX 1080
Intel UHD Graphics 630 (i7-10700K)	2.0%	Gen9.5 CFL	1200 MHz	2x8GB DDR4-3200	N/A	Intel Core i7-10700K
